account_id,fictional_account_name,segment,region,complexity_band,kickoff_date,committed_go_live_date,actual_go_live_date,projected_go_live_date,project_status,template_cohort,mapping_coverage,uat_pass_rate,recent_integration_success_rate,readiness_rate,days_to_committed_go_live,risk_status,risk_reason,next_action,first_value_date,time_to_first_value_days
ACCT-011,Demo Account 11,SMB,West,Standard,2025-09-22,2025-10-31,2025-10-29,2025-10-29,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-242,Green,Implementation completed,Monitor first-value adoption,2025-11-03,42
ACCT-012,Demo Account 12,Mid-Market,North,Advanced,2025-09-25,2025-11-19,2025-11-18,2025-11-18,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-223,Green,Implementation completed,Monitor first-value adoption,2025-11-24,60
ACCT-013,Demo Account 13,SMB,South,Standard,2025-10-01,2025-11-09,2025-11-12,2025-11-12,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-233,Green,Implementation completed,Monitor first-value adoption,2025-11-17,47
ACCT-014,Demo Account 14,SMB,Central,Standard,2025-10-07,2025-11-15,2025-11-28,2025-11-28,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-227,Green,Implementation completed,Monitor first-value adoption,2025-12-03,57
ACCT-015,Demo Account 15,Enterprise,West,Complex,2025-10-10,2025-12-27,2026-01-03,2026-01-03,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-185,Green,Implementation completed,Monitor first-value adoption,2026-01-09,91
ACCT-016,Demo Account 16,SMB,North,Standard,2025-10-16,2025-11-24,2025-12-01,2025-12-01,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-218,Green,Implementation completed,Monitor first-value adoption,2025-12-06,51
ACCT-017,Demo Account 17,SMB,South,Standard,2025-10-22,2025-11-30,2025-11-30,2025-11-30,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-212,Green,Implementation completed,Monitor first-value adoption,2025-12-05,44
ACCT-018,Demo Account 18,Mid-Market,Central,Advanced,2025-10-25,2025-12-19,2025-12-22,2025-12-22,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-193,Green,Implementation completed,Monitor first-value adoption,2025-12-28,64
ACCT-019,Demo Account 19,SMB,West,Standard,2025-10-31,2025-12-09,2025-12-06,2025-12-06,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-203,Green,Implementation completed,Monitor first-value adoption,2025-12-11,41
ACCT-020,Demo Account 20,Enterprise,North,Complex,2025-11-06,2026-01-23,2026-01-24,2026-01-24,Completed,Legacy mapping,1.0,1.0,0.875,0.9625,-158,Green,Implementation completed,Monitor first-value adoption,2026-01-29,84
ACCT-021,Demo Account 21,Mid-Market,South,Advanced,2025-11-09,2026-01-03,2026-01-12,2026-01-12,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-178,Green,Implementation completed,Monitor first-value adoption,2026-01-18,70
ACCT-022,Demo Account 22,SMB,Central,Standard,2025-11-15,2025-12-24,2026-01-01,2026-01-01,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-188,Green,Implementation completed,Monitor first-value adoption,2026-01-06,52
ACCT-023,Demo Account 23,SMB,West,Standard,2025-11-21,2025-12-30,2026-01-01,2026-01-01,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-182,Green,Implementation completed,Monitor first-value adoption,2026-01-06,46
ACCT-024,Demo Account 24,Mid-Market,North,Advanced,2025-11-24,2026-01-18,2026-01-23,2026-01-23,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-163,Green,Implementation completed,Monitor first-value adoption,2026-01-29,66
ACCT-025,Demo Account 25,Enterprise,South,Complex,2025-11-30,2026-02-16,2026-02-20,2026-02-20,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-134,Green,Implementation completed,Monitor first-value adoption,2026-02-25,87
ACCT-026,Demo Account 26,SMB,Central,Standard,2025-12-06,2026-01-14,2026-01-15,2026-01-15,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-167,Green,Implementation completed,Monitor first-value adoption,2026-01-20,45
ACCT-027,Demo Account 27,Mid-Market,West,Advanced,2025-12-09,2026-02-02,2026-02-09,2026-02-09,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-148,Green,Implementation completed,Monitor first-value adoption,2026-02-15,68
ACCT-028,Demo Account 28,SMB,North,Standard,2025-12-15,2026-01-23,2026-01-21,2026-01-21,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-158,Green,Implementation completed,Monitor first-value adoption,2026-01-26,42
ACCT-029,Demo Account 29,SMB,South,Standard,2025-12-21,2026-01-29,2026-02-05,2026-02-05,Completed,Legacy mapping,1.0,1.0,0.5,0.85,-152,Green,Implementation completed,Monitor first-value adoption,2026-02-10,51
ACCT-030,Demo Account 30,Enterprise,Central,Complex,2025-12-24,2026-03-12,2026-03-19,2026-03-19,Completed,Legacy mapping,1.0,1.0,0.875,0.9625,-110,Green,Implementation completed,Monitor first-value adoption,2026-03-25,91
ACCT-031,Demo Account 31,SMB,West,Standard,2025-12-30,2026-02-07,2026-02-14,2026-02-14,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-143,Green,Implementation completed,Monitor first-value adoption,2026-02-19,51
ACCT-032,Demo Account 32,SMB,North,Standard,2026-01-05,2026-02-13,2026-02-12,2026-02-12,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-137,Green,Implementation completed,Monitor first-value adoption,2026-02-17,43
ACCT-033,Demo Account 33,Mid-Market,South,Advanced,2026-01-08,2026-03-04,2026-03-10,2026-03-10,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-118,Green,Implementation completed,Monitor first-value adoption,2026-03-16,67
ACCT-034,Demo Account 34,SMB,Central,Standard,2026-01-14,2026-02-22,2026-02-21,2026-02-21,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-128,Green,Implementation completed,Monitor first-value adoption,2026-02-26,43
ACCT-035,Demo Account 35,Enterprise,West,Complex,2026-01-20,2026-04-08,2026-04-01,2026-04-01,Completed,Standardized template,1.0,1.0,0.875,0.9625,-83,Green,Implementation completed,Monitor first-value adoption,2026-04-06,76
ACCT-036,Demo Account 36,Mid-Market,North,Advanced,2026-01-23,2026-03-19,2026-03-19,2026-03-19,Completed,Standardized template,1.0,1.0,0.833333,0.95,-103,Green,Implementation completed,Monitor first-value adoption,2026-03-25,61
ACCT-037,Demo Account 37,SMB,South,Standard,2026-01-29,2026-03-09,2026-03-04,2026-03-04,Completed,Standardized template,1.0,1.0,1.0,1.0,-113,Green,Implementation completed,Monitor first-value adoption,2026-03-09,39
ACCT-038,Demo Account 38,SMB,Central,Standard,2026-02-04,2026-03-15,2026-03-17,2026-03-17,Completed,Standardized template,1.0,1.0,1.0,1.0,-107,Green,Implementation completed,Monitor first-value adoption,2026-03-22,46
ACCT-039,Demo Account 39,Mid-Market,West,Advanced,2026-02-07,2026-04-03,2026-04-08,2026-04-08,Completed,Standardized template,1.0,1.0,1.0,1.0,-88,Green,Implementation completed,Monitor first-value adoption,2026-04-14,66
ACCT-040,Demo Account 40,Enterprise,North,Complex,2026-02-13,2026-05-02,2026-04-27,2026-04-27,Completed,Standardized template,1.0,1.0,1.0,1.0,-59,Green,Implementation completed,Monitor first-value adoption,2026-05-02,78
ACCT-041,Demo Account 41,SMB,South,Standard,2026-02-19,2026-03-30,2026-03-27,2026-03-27,Completed,Standardized template,1.0,1.0,1.0,1.0,-92,Green,Implementation completed,Monitor first-value adoption,2026-04-01,41
ACCT-042,Demo Account 42,Mid-Market,Central,Advanced,2026-02-22,2026-04-18,2026-04-19,2026-04-19,Completed,Standardized template,1.0,1.0,1.0,1.0,-73,Green,Implementation completed,Monitor first-value adoption,2026-04-25,62
ACCT-043,Demo Account 43,SMB,West,Standard,2026-02-28,2026-04-08,2026-04-06,2026-04-06,Completed,Standardized template,1.0,1.0,1.0,1.0,-83,Green,Implementation completed,Monitor first-value adoption,2026-04-11,42
ACCT-044,Demo Account 44,SMB,North,Standard,2026-03-06,2026-04-14,2026-04-11,2026-04-11,Completed,Standardized template,1.0,1.0,1.0,1.0,-77,Green,Implementation completed,Monitor first-value adoption,2026-04-16,41
ACCT-045,Demo Account 45,Enterprise,South,Complex,2026-03-09,2026-05-26,2026-05-25,2026-05-25,Completed,Standardized template,1.0,1.0,1.0,1.0,-35,Green,Implementation completed,Monitor first-value adoption,2026-05-31,83
ACCT-046,Demo Account 46,SMB,Central,Standard,2026-03-15,2026-04-23,2026-04-20,2026-04-20,Completed,Standardized template,1.0,1.0,1.0,1.0,-68,Green,Implementation completed,Monitor first-value adoption,2026-04-25,41
ACCT-047,Demo Account 47,SMB,West,Standard,2026-03-21,2026-04-29,2026-04-20,2026-04-20,Completed,Standardized template,1.0,1.0,1.0,1.0,-62,Green,Implementation completed,Monitor first-value adoption,2026-04-25,35
ACCT-048,Demo Account 48,Mid-Market,North,Advanced,2026-03-24,2026-05-18,2026-05-18,2026-05-18,Completed,Standardized template,1.0,1.0,1.0,1.0,-43,Green,Implementation completed,Monitor first-value adoption,2026-05-24,61
ACCT-049,Demo Account 49,SMB,South,Standard,2026-03-30,2026-05-08,2026-05-10,2026-05-10,Completed,Standardized template,1.0,1.0,1.0,1.0,-53,Green,Implementation completed,Monitor first-value adoption,2026-05-15,46
ACCT-050,Demo Account 50,Enterprise,Central,Complex,2026-04-05,2026-06-22,2026-06-13,2026-06-13,Completed,Standardized template,1.0,1.0,1.0,1.0,-8,Green,Implementation completed,Monitor first-value adoption,2026-06-18,74
ACCT-051,Demo Account 51,Mid-Market,West,Advanced,2026-04-08,2026-06-02,2026-06-03,2026-06-03,Completed,Standardized template,1.0,1.0,1.0,1.0,-28,Green,Implementation completed,Monitor first-value adoption,2026-06-09,62
ACCT-052,Demo Account 52,SMB,North,Standard,2026-04-14,2026-05-23,2026-06-07,2026-06-07,Completed,Standardized template,1.0,1.0,1.0,1.0,-38,Green,Implementation completed,Monitor first-value adoption,2026-06-12,59
ACCT-053,Demo Account 53,SMB,South,Standard,2026-04-20,2026-05-29,2026-05-28,2026-05-28,Completed,Standardized template,1.0,1.0,1.0,1.0,-32,Green,Implementation completed,Monitor first-value adoption,2026-06-02,43
ACCT-054,Demo Account 54,Mid-Market,Central,Advanced,2026-04-23,2026-06-17,2026-06-07,2026-06-07,Completed,Standardized template,1.0,1.0,1.0,1.0,-13,Green,Implementation completed,Monitor first-value adoption,2026-06-13,51
ACCT-055,Demo Account 55,Enterprise,West,Complex,2026-04-29,2026-07-16,,2026-07-14,Active,Standardized template,1.0,0.75,0.875,0.8875,16,Amber,"Readiness, reliability or schedule guardrail at risk",Resolve blocker and re-baseline remaining milestones,,
ACCT-056,Demo Account 56,SMB,North,Standard,2026-05-05,2026-06-13,2026-06-10,2026-06-10,Completed,Standardized template,1.0,1.0,1.0,1.0,-17,Green,Implementation completed,Monitor first-value adoption,2026-06-15,41
ACCT-057,Demo Account 57,Mid-Market,South,Advanced,2026-05-08,2026-07-02,,2026-07-21,Active,Standardized template,0.666667,0.5,1.0,0.716667,2,Red,Go-live ≤14 days with incomplete mapping or UAT,Run daily recovery plan with decision owner,,
ACCT-058,Demo Account 58,SMB,Central,Standard,2026-05-14,2026-06-22,,2026-07-06,Active,Standardized template,0.666667,1.0,0.5,0.716667,-8,Red,Go-live ≤14 days with incomplete mapping or UAT,Run daily recovery plan with decision owner,,
ACCT-059,Demo Account 59,SMB,West,Standard,2026-05-20,2026-06-28,,2026-07-11,Active,Standardized template,0.666667,0.625,1.0,0.754167,-2,Red,Go-live ≤14 days with incomplete mapping or UAT,Run daily recovery plan with decision owner,,
ACCT-060,Demo Account 60,Enterprise,North,Complex,2026-05-23,2026-08-09,,2026-08-27,Active,Standardized template,0.0,0.0,0.875,0.2625,40,Amber,"Readiness, reliability or schedule guardrail at risk",Resolve blocker and re-baseline remaining milestones,,
