account_id,connector_id,connector_name,auth_type,environment,authorized_at,schema_version
ACCT-024,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-09,v1
ACCT-024,BILLING,Billing API,API key,Production,2025-12-09,v1
ACCT-024,PRODUCT,Product Events,Bearer token,Production,2025-12-09,v1
ACCT-025,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-18,v1
ACCT-025,BILLING,Billing API,API key,Production,2025-12-18,v1
ACCT-025,PRODUCT,Product Events,Bearer token,Production,2025-12-18,v1
ACCT-025,WAREHOUSE,Cloud Warehouse,Service account,Production,2025-12-18,v1
ACCT-026,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-18,v1
ACCT-026,BILLING,Billing API,API key,Production,2025-12-18,v1
ACCT-027,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-24,v1
ACCT-027,BILLING,Billing API,API key,Production,2025-12-24,v1
ACCT-027,PRODUCT,Product Events,Bearer token,Production,2025-12-24,v1
ACCT-028,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-27,v1
ACCT-028,BILLING,Billing API,API key,Production,2025-12-27,v1
ACCT-029,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-02,v1
ACCT-029,BILLING,Billing API,API key,Production,2026-01-02,v1
ACCT-030,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-11,v1
ACCT-030,BILLING,Billing API,API key,Production,2026-01-11,v1
ACCT-030,PRODUCT,Product Events,Bearer token,Production,2026-01-11,v1
ACCT-030,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-01-11,v1
ACCT-031,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-11,v1
ACCT-031,BILLING,Billing API,API key,Production,2026-01-11,v1
ACCT-032,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-17,v2
ACCT-032,BILLING,Billing API,API key,Production,2026-01-17,v2
ACCT-033,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-23,v2
ACCT-033,BILLING,Billing API,API key,Production,2026-01-23,v2
ACCT-033,PRODUCT,Product Events,Bearer token,Production,2026-01-23,v2
ACCT-034,CRM,CRM Cloud,OAuth 2.0,Production,2026-01-26,v2
ACCT-034,BILLING,Billing API,API key,Production,2026-01-26,v2
ACCT-035,CRM,CRM Cloud,OAuth 2.0,Production,2026-02-07,v2
ACCT-035,BILLING,Billing API,API key,Production,2026-02-07,v2
ACCT-035,PRODUCT,Product Events,Bearer token,Production,2026-02-07,v2
ACCT-035,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-02-07,v2
ACCT-036,CRM,CRM Cloud,OAuth 2.0,Production,2026-02-07,v2
ACCT-036,BILLING,Billing API,API key,Production,2026-02-07,v2
ACCT-036,PRODUCT,Product Events,Bearer token,Production,2026-02-07,v2
ACCT-037,CRM,CRM Cloud,OAuth 2.0,Production,2026-02-10,v2
ACCT-037,BILLING,Billing API,API key,Production,2026-02-10,v2
ACCT-038,CRM,CRM Cloud,OAuth 2.0,Production,2026-02-16,v2
ACCT-038,BILLING,Billing API,API key,Production,2026-02-16,v2
ACCT-039,CRM,CRM Cloud,OAuth 2.0,Production,2026-02-22,v2
ACCT-039,BILLING,Billing API,API key,Production,2026-02-22,v2
ACCT-039,PRODUCT,Product Events,Bearer token,Production,2026-02-22,v2
ACCT-040,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-03,v2
ACCT-040,BILLING,Billing API,API key,Production,2026-03-03,v2
ACCT-040,PRODUCT,Product Events,Bearer token,Production,2026-03-03,v2
ACCT-040,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-03-03,v2
ACCT-041,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-03,v2
ACCT-041,BILLING,Billing API,API key,Production,2026-03-03,v2
ACCT-042,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-09,v2
ACCT-042,BILLING,Billing API,API key,Production,2026-03-09,v2
ACCT-042,PRODUCT,Product Events,Bearer token,Production,2026-03-09,v2
ACCT-043,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-12,v2
ACCT-043,BILLING,Billing API,API key,Production,2026-03-12,v2
ACCT-044,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-18,v2
ACCT-044,BILLING,Billing API,API key,Production,2026-03-18,v2
ACCT-045,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-27,v2
ACCT-045,BILLING,Billing API,API key,Production,2026-03-27,v2
ACCT-045,PRODUCT,Product Events,Bearer token,Production,2026-03-27,v2
ACCT-045,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-03-27,v2
ACCT-046,CRM,CRM Cloud,OAuth 2.0,Production,2026-03-27,v2
ACCT-046,BILLING,Billing API,API key,Production,2026-03-27,v2
ACCT-047,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-02,v2
ACCT-047,BILLING,Billing API,API key,Production,2026-04-02,v2
ACCT-048,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-08,v2
ACCT-048,BILLING,Billing API,API key,Production,2026-04-08,v2
ACCT-048,PRODUCT,Product Events,Bearer token,Production,2026-04-08,v2
ACCT-049,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-11,v2
ACCT-049,BILLING,Billing API,API key,Production,2026-04-11,v2
ACCT-050,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-23,v2
ACCT-050,BILLING,Billing API,API key,Production,2026-04-23,v2
ACCT-050,PRODUCT,Product Events,Bearer token,Production,2026-04-23,v2
ACCT-050,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-04-23,v2
ACCT-051,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-23,v2
ACCT-051,BILLING,Billing API,API key,Production,2026-04-23,v2
ACCT-051,PRODUCT,Product Events,Bearer token,Production,2026-04-23,v2
ACCT-052,CRM,CRM Cloud,OAuth 2.0,Production,2026-04-26,v2
ACCT-052,BILLING,Billing API,API key,Production,2026-04-26,v2
ACCT-053,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-02,v2
ACCT-053,BILLING,Billing API,API key,Production,2026-05-02,v2
ACCT-054,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-08,v2
ACCT-054,BILLING,Billing API,API key,Production,2026-05-08,v2
ACCT-054,PRODUCT,Product Events,Bearer token,Production,2026-05-08,v2
ACCT-055,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-17,v2
ACCT-055,BILLING,Billing API,API key,Production,2026-05-17,v2
ACCT-055,PRODUCT,Product Events,Bearer token,Production,2026-05-17,v2
ACCT-055,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-05-17,v2
ACCT-056,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-17,v2
ACCT-056,BILLING,Billing API,API key,Production,2026-05-17,v2
ACCT-057,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-23,v2
ACCT-057,BILLING,Billing API,API key,Production,2026-05-23,v2
ACCT-057,PRODUCT,Product Events,Bearer token,Production,2026-05-23,v2
ACCT-058,CRM,CRM Cloud,OAuth 2.0,Production,2026-05-26,v2
ACCT-058,BILLING,Billing API,API key,Production,2026-05-26,v2
ACCT-059,CRM,CRM Cloud,OAuth 2.0,Production,2026-06-01,v2
ACCT-059,BILLING,Billing API,API key,Production,2026-06-01,v2
ACCT-060,CRM,CRM Cloud,OAuth 2.0,Production,2026-06-10,v2
ACCT-060,BILLING,Billing API,API key,Production,2026-06-10,v2
ACCT-060,PRODUCT,Product Events,Bearer token,Production,2026-06-10,v2
ACCT-060,WAREHOUSE,Cloud Warehouse,Service account,Production,2026-06-10,v2
